,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,topic_no
1396,Gisteren heb ik een appel en een peer gehad dat was het enige want ik kon bijna niks eten,4: Drinken,2.0,1,"['appel', 'eten']","['gister', 'appel', 'per', 'gehad', 'enig', 'bijna', 'nik', 'eten']",0.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,0.0,0.0,4
1403,Ze hebben wat gevraagd over water en eten en mijn familie en over sport,4: Drinken,,0,['eten'],"['gevraagd', 'water', 'eten', 'familie', 'sport']",0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1411,Ik over drinken en sporten,4: Drinken,,0,['drink'],"['drink', 'sport']",0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1414,Ik heb vragen gehad over snacks,4: Drinken,,0,['snack'],"['vrag', 'gehad', 'snack']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1423,Ik moet nog eten ik lig nog in bed dus,4: Drinken,,0,['eten'],"['eten', 'lig', 'bed']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1427,Ik heb net ook weer een vragenlijst gehad en het ging over hoeveel je klasgenootjes denk ik drinken,4: Drinken,,0,['drink'],"['net', 'wer', 'vragenlijst', 'gehad', 'ging', 'hoevel', 'klasgenootjes', 'denk', 'drink']",0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.55,0.0,0.0,1.0,0.0,0.0,4
1428,Saar dat  ginh jij direct weg want ee gingen samrn met het team drinken en toen  toen wij aankwamen was jij al weg en dat was niet afgesproken,4: Drinken,,0,['drink'],"['sar', 'ginh', 'jij', 'direct', 'weg', 'ee', 'ging', 'samrn', 'team', 'drink', 'wij', 'aankwam', 'jij', 'weg', 'afgesprok']",0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,0.0,4
1436,Stock stof dip,4: Drinken,3.8,0,['dip'],"['stock', 'stof', 'dip']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1439,Oke heb honger,4: Drinken,,0,['honger'],"['oke', 'honger']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1471,Ik was tennis en zo eten,4: Drinken,,0,['eten'],"['tennis', 'eten']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1473,Nu heb ik er 4 gehad waaronder 1 over water drinken??,4: Drinken,,1,['drink'],"['gehad', 'waaronder', 'water', 'drink']",0.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1482,Nu heb ik honger ??,4: Drinken,,1,['honger'],['honger'],2.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1484,Jo heeft iemand 10 cent voor me? Ik heb geen drinken bij me!! Dan krijg je het morgen terug!!,4: Drinken,,2,['drink'],"['jo', '10', 'cent', 'drink', 'krijg', 'morg', 'terug']",0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1489,1 over sport en drinken en de andere algemene kennis,4: Drinken,,0,['drink'],"['sport', 'drink', 'algemen', 'kennis']",0.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.2333333333333333,0.0,0.0,1.0,0.0,0.0,4
1514,Gijs radijs,4: Drinken,1.6,0,['radijs'],"['gijs', 'radijs']",0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1521,Ik ging drinken in de auto en we maken een bocht en het ging over mij heen dus daarom zaten we in de deuk,4: Drinken,,0,['drink'],"['ging', 'drink', 'auto', 'we', 'mak', 'bocht', 'ging', 'hen', 'daarom', 'zat', 'we', 'deuk']",0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1525,Krijgen jullie al honger,4: Drinken,,0,['honger'],"['krijg', 'jullie', 'honger']",2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1554,Ik heb HONGER,4: Drinken,,0,['honger'],['honger'],0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1557,Als adam honger heeft,4: Drinken,,0,['honger'],"['adam', 'honger']",2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1613,Ja dan krijg je snoep als je het zegt,4: Drinken,4.4,0,['snoep'],"['krijg', 'snoep', 'zegt']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1694,Ik daardelijk uit eten in den bosch bij nomnom,4: Drinken,,1,"['nomnom', 'eten']","['daardelijk', 'eten', 'den', 'bosch', 'nomnom']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1729,Wie zie ik bij de Spar,4: Drinken,,0,['spar'],"['zie', 'spar']",0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4
1735,Ben bij de bso had mijn tel in mijn broekzak 1 iemand zat naast mij en de bank trilde 2 x moest ik een foto maken wat ik aan het doen was en dat was Fruit eten,4: Drinken,1.5,0,"['fruit', 'eten']","['bso', 'tel', 'broekzak', 'zat', 'naast', 'bank', 'trild', 'moest', 'foto', 'mak', 'fruit', 'eten']",0.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,1.0,0.0,0.0,4
1776,Iets uit de koelkast pakken,4: Drinken,,0,['koelkast'],"['koelkast', 'pak']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1784,En deze telefoon leid mij toch af zodat ik geen honger krijg en ik blijf toch uitrusten in bed,4: Drinken,,0,['honger'],"['telefon', 'leid', 'af', 'zodat', 'honger', 'krijg', 'blijf', 'uitrust', 'bed']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1785,"Oke,ik heb HONGER!!!",4: Drinken,,0,['honger'],"['oke', 'honger']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1824,Haha youssra van dat je zij na dit eten moet je kotsen dat is echt waar eerst gaan we zeggen IK HEB HONGEEER maar na het eten denk je STOOOOP,4: Drinken,,0,"['eten', 'eten', 'honger']","['haha', 'youssra', 'eten', 'kots', 'echt', 'war', 'eerst', 'gan', 'we', 'zegg', 'honger', 'eten', 'denk', 'stop']",0.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.32000000000000006,0.0,0.0,1.0,0.0,0.0,4
1850,Hallo hebben zo warm Ik heb buikpijn honger juli,4: Drinken,,0,['honger'],"['hallo', 'warm', 'buikpijn', 'honger', 'juli']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7000000000000001,0.0,0.0,1.0,0.0,0.0,4
1872,Hep je ook honger,4: Drinken,,0,['honger'],"['hep', 'honger']",2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1875,Heb je ook zo honger ik wel,4: Drinken,,2,['honger'],"['honger', 'wel']",2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1891,Samen lopen jack naar school om 08:00?????????????????????????????? maar eerst water drinken,4: Drinken,,0,['drink'],"['sam', 'lop', 'jack', 'schol', '08', '00', 'eerst', 'water', 'drink']",1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.6499999999999999,0.0,0.0,0.0,1.0,0.0,4
1902,Als je wil mag jr bij me eten,4: Drinken,,0,['eten'],"['mag', 'jr', 'eten']",2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1904,Ik zie jr bij mij na het eten ??,4: Drinken,,0,['eten'],"['zie', 'jr', 'eten']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1924,Nu heb ik honger,4: Drinken,,0,['honger'],['honger'],2.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1944,Wij gingen ijsje eten bij het kinderkoor ?? En niet zingen met dit warme weer????,4: Drinken,,0,['eten'],"['wij', 'ging', 'ijsj', 'eten', 'kinderkor', 'zing', 'warm', 'wer']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7000000000000001,0.0,0.0,1.0,0.0,0.0,4
1989,Lekker thee aan het drinken,4: Drinken,2.0,0,"['drink', 'thee']","['lekker', 'thee', 'drink']",0.0,10.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.6,0.0,0.0,1.0,0.0,0.0,4
2007,Heb jij honger ,4: Drinken,,0,['honger'],"['jij', 'honger']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
2008,Heb jij honger,4: Drinken,,0,['honger'],"['jij', 'honger']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
2016,Voor schoolreis op school snoep menemen,4: Drinken,4.4,0,['snoep'],"['schoolreis', 'schol', 'snoep', 'menem']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
2022,Heb jij ook zo honger,4: Drinken,,0,['honger'],"['jij', 'honger']",2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
2080,"Ja,het word bij jullie een leuke dag omdat wij suikerfeest hebben??we vieren vandaag suikerfeest bij me oma alweer en het word gezellig heel veel familie bij elkaar en gaan we lekker koekjes enzo eten",4: Drinken,,0,['eten'],"['word', 'jullie', 'leuk', 'dag', 'wij', 'suikerfeest', 'we', 'vier', 'vandag', 'suikerfeest', 'oma', 'alwer', 'word', 'gezell', 'hel', 'familie', 'elkar', 'gan', 'we', 'lekker', 'koekjes', 'enzo', 'eten']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4444444444444444,0.0,0.0,1.0,0.0,0.0,4
2088,Niet veel maar ik wordt dar altijd heel ziek van om niet te eten en niet te drinken,4: Drinken,,0,"['drink', 'eten']","['dar', 'hel', 'ziek', 'eten', 'drink']",0.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,4
2090,Want anders heb ik tijdens het cito maken fet veel honger,4: Drinken,,0,['honger'],"['ander', 'tijden', 'cito', 'mak', 'fet', 'honger']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
2091,Moet je niet doen als iemand honger heeft,4: Drinken,,0,['honger'],['honger'],0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
2092,Moet jij voor stellen als jij honger hebt,4: Drinken,,0,['honger'],"['jij', 'stell', 'jij', 'honger', 'hebt']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
2106,Niet honger,4: Drinken,,0,['honger'],['honger'],2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
2113, Ik ben lekker thee aan het drinken??????,4: Drinken,2.0,0,"['drink', 'thee']","['lekker', 'thee', 'drink']",0.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.6,0.0,0.0,1.0,0.0,0.0,4
2119,We gaan hamburgers eten!!!!!,4: Drinken,3.5,0,"['hamburger', 'eten']","['we', 'gan', 'hamburger', 'eten']",0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4
